,researchExp,toeflScore,GRE_Total,CGPA,University
436,0.0,113.0,318,7.8500000000000005,University of Texas at Dallas
437,0.0,111.0,316,7.75,University of Texas at Dallas
438,0.0,97.0,308,6.375,University of Texas at Dallas
439,0.0,103.0,314,8.25,University of Texas at Dallas
440,0.0,96.0,307,8.0,University of Texas at Dallas
441,0.0,110.0,309,8.0,University of Texas at Dallas
442,0.0,104.21251509054326,310,8.55,University of Texas at Dallas
443,0.0,111.0,316,8.4,University of Texas at Dallas
444,0.0,104.21251509054326,318,8.325,University of Texas at Dallas
445,0.0,105.0,317,8.325,University of Texas at Dallas
446,0.0,101.0,310,8.325,University of Texas at Dallas
447,0.0,107.0,314,8.25,University of Texas at Dallas
448,0.0,99.0,319,7.5,University of Texas at Dallas
449,0.0,104.0,303,7.375,University of Texas at Dallas
450,0.0,89.0,302,7.925,University of Texas at Dallas
451,0.0,116.0,327,8.075,University of Texas at Dallas
452,0.0,91.0,316,8.149999999999999,University of Texas at Dallas
453,0.0,107.0,314,8.25,University of Texas at Dallas
454,0.0,98.0,313,7.375,University of Texas at Dallas
455,0.0,103.0,316,7.675,University of Texas at Dallas
456,0.0,91.0,301,6.625,University of Texas at Dallas
457,0.0,98.0,308,7.925,University of Texas at Dallas
458,0.0,104.21251509054326,318,8.25,University of Texas at Dallas
459,0.0,81.0,306,9.125,University of Texas at Dallas
460,0.0,84.0,313,7.5,University of Texas at Dallas
461,0.0,95.0,303,5.75,University of Texas at Dallas
462,0.0,104.21251509054326,310,8.0,University of Texas at Dallas
463,0.0,108.0,314,7.8500000000000005,University of Texas at Dallas
464,0.0,104.21251509054326,317,8.4,University of Texas at Dallas
465,0.0,107.0,311,9.05,University of Texas at Dallas
466,0.0,98.0,310,7.925,University of Texas at Dallas
467,6.0,111.0,329,8.25,University of Texas at Dallas
468,0.0,112.0,317,7.25,University of Texas at Dallas
469,0.0,103.0,317,8.4,University of Texas at Dallas
470,0.0,104.21251509054326,314,7.925,University of Texas at Dallas
471,0.0,83.0,316,7.675,University of Texas at Dallas
472,0.0,108.0,320,8.55,University of Texas at Dallas
473,0.0,100.0,314,8.075,University of Texas at Dallas
474,0.0,106.0,301,8.5,University of Texas at Dallas
475,0.0,109.0,318,8.149999999999999,University of Texas at Dallas
476,0.0,112.0,308,8.149999999999999,University of Texas at Dallas
477,0.0,101.0,312,7.25,University of Texas at Dallas
478,0.0,97.0,310,8.149999999999999,University of Texas at Dallas
479,0.0,104.21251509054326,321,9.0,University of Texas at Dallas
480,0.0,98.0,311,7.0,University of Texas at Dallas
481,0.0,104.21251509054326,316,8.875,University of Texas at Dallas
482,0.0,109.0,314,7.925,University of Texas at Dallas
483,0.0,106.0,305,8.075,University of Texas at Dallas
484,0.0,105.0,314,7.75,University of Texas at Dallas
485,0.0,87.0,308,6.75,University of Texas at Dallas
486,0.0,103.0,307,7.925,University of Texas at Dallas
487,0.0,97.0,315,6.875,University of Texas at Dallas
488,0.0,104.21251509054326,310,7.25,University of Texas at Dallas
489,0.0,102.0,309,8.149999999999999,University of Texas at Dallas
490,0.0,98.0,302,8.0,University of Texas at Dallas
491,0.0,98.0,316,8.475,University of Texas at Dallas
492,0.0,109.0,310,8.55,University of Texas at Dallas
493,0.0,107.0,316,7.8500000000000005,University of Texas at Dallas
494,0.0,93.0,310,8.725000000000001,University of Texas at Dallas
495,0.0,110.0,320,6.75,University of Texas at Dallas
496,0.0,103.0,310,6.875,University of Texas at Dallas
497,0.0,107.0,317,7.8500000000000005,University of Texas at Dallas
498,0.0,104.21251509054326,301,7.125,University of Texas at Dallas
499,0.0,102.0,308,7.375,University of Texas at Dallas
500,0.0,113.0,318,8.149999999999999,University of Texas at Dallas
501,0.0,104.0,314,7.125,University of Texas at Dallas
502,0.0,85.0,308,7.675,University of Texas at Dallas
503,0.0,97.0,312,8.4,University of Texas at Dallas
504,0.0,95.0,310,8.65,University of Texas at Dallas
505,0.0,99.0,316,8.55,University of Texas at Dallas
506,0.0,92.0,311,7.925,University of Texas at Dallas
507,0.0,103.0,302,8.075,University of Texas at Dallas
508,0.0,86.0,305,7.0,University of Texas at Dallas
509,0.0,97.0,316,8.8,University of Texas at Dallas
510,0.0,110.0,322,7.125,University of Texas at Dallas
511,0.0,104.21251509054326,313,8.325,University of Texas at Dallas
512,0.0,105.0,311,7.8500000000000005,University of Texas at Dallas
513,0.0,102.0,314,7.125,University of Texas at Dallas
514,0.0,101.0,305,7.375,University of Texas at Dallas
515,0.0,94.0,309,8.725000000000001,University of Texas at Dallas
516,0.0,101.0,304,9.0,University of Texas at Dallas
517,0.0,107.0,321,7.75,University of Texas at Dallas
518,0.0,104.21251509054326,311,7.5,University of Texas at Dallas
519,0.0,94.0,312,7.5,University of Texas at Dallas
520,0.0,98.0,308,7.75,University of Texas at Dallas
521,0.0,87.0,313,8.725000000000001,University of Texas at Dallas
522,0.0,86.0,312,8.8,University of Texas at Dallas
523,0.0,98.0,315,8.149999999999999,University of Texas at Dallas
524,0.0,91.0,312,8.075,University of Texas at Dallas
525,0.0,100.0,308,8.0,University of Texas at Dallas
526,0.0,97.0,313,7.375,University of Texas at Dallas
527,0.0,94.0,307,8.25,University of Texas at Dallas
528,0.0,109.0,314,8.725000000000001,University of Texas at Dallas
529,0.0,110.0,316,7.25,University of Texas at Dallas
530,0.0,93.0,322,6.5,University of Texas at Dallas
531,0.0,92.0,309,9.350000000000001,University of Texas at Dallas
532,0.0,103.0,300,8.875,University of Texas at Dallas
533,0.0,101.0,322,8.95,University of Texas at Dallas
534,0.0,95.0,315,7.675,University of Texas at Dallas
535,0.0,108.0,319,7.8500000000000005,University of Texas at Dallas
536,0.0,106.0,314,8.0,University of Texas at Dallas
537,0.0,105.0,309,8.075,University of Texas at Dallas
538,0.0,109.0,307,7.25,University of Texas at Dallas
539,0.0,109.0,320,8.149999999999999,University of Texas at Dallas
540,0.0,100.0,297,8.55,University of Texas at Dallas
541,0.0,118.0,318,9.200000000000001,University of Texas at Dallas
